table_schema	table_name
public	activities
public	activity_participants
public	activity_revenue
public	activity_slots
public	blocked_users
public	business_stats
public	conversation_participants
public	conversations
public	conversations_with_last_message
public	friend_requests
public	friend_requests_with_profiles
public	friends_with_profiles
public	friendships
public	group_formation_logs
public	messages
public	met_people_hidden
public	profiles
public	reports
public	reviews
public	slot_group_members
public	slot_groups
public	slot_groups_backup
public	slot_participants
public	v_slots_pending_group_formation
public	v_slow_queries
(25 rows)
