schemaname	tablename	policyname	permissive	roles	cmd	qual	with_check
cron	job	cron_job_policy	PERMISSIVE	{public}	ALL	(username = CURRENT_USER)	
cron	job_run_details	cron_job_run_details_policy	PERMISSIVE	{public}	ALL	(username = CURRENT_USER)	
public	activities	Hosts can update own activities	PERMISSIVE	{public}	UPDATE	(auth.uid() = host_id)	(auth.uid() = host_id)
public	activities	Insertion authentifiée	PERMISSIVE	{authenticated}	INSERT		(auth.uid() = host_id)
public	activities	Lecture publique des activités	PERMISSIVE	{public}	SELECT	(((status)::text = 'active'::text) OR (auth.uid() = host_id))	
public	activities	Suppression par le créateur	PERMISSIVE	{authenticated}	DELETE	(auth.uid() = host_id)	
public	activity_participants	Anyone can view participants	PERMISSIVE	{public}	SELECT	true	
public	activity_participants	Users can join activities	PERMISSIVE	{public}	INSERT		(auth.uid() = user_id)
public	activity_participants	Users can leave activities	PERMISSIVE	{public}	DELETE	(auth.uid() = user_id)	
public	activity_revenue	Business can insert own revenue	PERMISSIVE	{public}	INSERT		(auth.uid() = business_id)
public	activity_revenue	Business can view own revenue	PERMISSIVE	{public}	SELECT	(auth.uid() = business_id)	
public	activity_slots	Anyone can view slots	PERMISSIVE	{public}	SELECT	true	
public	activity_slots	Authenticated users can add slots	PERMISSIVE	{public}	INSERT		(auth.uid() = created_by)
public	activity_slots	Creators can delete their slots	PERMISSIVE	{public}	DELETE	(auth.uid() = created_by)	
public	blocked_users	Users can create blocks	PERMISSIVE	{public}	INSERT		(auth.uid() = blocker_id)
public	blocked_users	Users can delete their own blocks	PERMISSIVE	{public}	DELETE	(auth.uid() = blocker_id)	
public	blocked_users	Users can view their own blocks	PERMISSIVE	{public}	SELECT	(auth.uid() = blocker_id)	
public	business_stats	Business can insert own stats	PERMISSIVE	{public}	INSERT		(auth.uid() = business_id)
public	business_stats	Business can update own stats	PERMISSIVE	{public}	UPDATE	(auth.uid() = business_id)	
public	business_stats	Business can view own stats	PERMISSIVE	{public}	SELECT	(auth.uid() = business_id)	
public	checkin_logs	Business sees own checkin logs	PERMISSIVE	{public}	SELECT	(EXISTS ( SELECT 1
   FROM activities a
  WHERE ((a.id = checkin_logs.activity_id) AND (a.host_id = auth.uid()))))	
public	checkin_logs	Service inserts checkin logs	PERMISSIVE	{public}	INSERT		true
public	conversation_participants	participants_delete	PERMISSIVE	{public}	DELETE	(user_id = auth.uid())	
public	conversation_participants	participants_insert	PERMISSIVE	{public}	INSERT		true
public	conversation_participants	participants_select	PERMISSIVE	{public}	SELECT	true	
public	conversation_participants	participants_update	PERMISSIVE	{public}	UPDATE	(user_id = auth.uid())	
public	conversations	conversations_insert	PERMISSIVE	{public}	INSERT		true
public	conversations	conversations_select	PERMISSIVE	{public}	SELECT	true	
public	conversations	conversations_update	PERMISSIVE	{public}	UPDATE	true	
public	friend_requests	Users can create friend requests	PERMISSIVE	{public}	INSERT		(auth.uid() = sender_id)
public	friend_requests	Users can delete their own friend requests	PERMISSIVE	{public}	DELETE	((auth.uid() = sender_id) OR (auth.uid() = receiver_id))	
public	friend_requests	Users can update their received friend requests	PERMISSIVE	{public}	UPDATE	(auth.uid() = receiver_id)	
public	friend_requests	Users can view their own friend requests	PERMISSIVE	{public}	SELECT	((auth.uid() = sender_id) OR (auth.uid() = receiver_id))	
public	friendships	Users can delete their own friendships	PERMISSIVE	{public}	DELETE	(auth.uid() = user_id)	
public	friendships	Users can insert friendships	PERMISSIVE	{public}	INSERT		((auth.uid() IS NOT NULL) AND ((auth.uid() = user_id) OR (auth.uid() = friend_id)))
public	friendships	Users can view their friendships	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	group_formation_logs	Authenticated users can view logs	PERMISSIVE	{authenticated}	SELECT	true	
public	messages	Business can insert messages in their activity groups	PERMISSIVE	{public}	INSERT		((EXISTS ( SELECT 1
   FROM conversation_participants cp
  WHERE ((cp.conversation_id = messages.conversation_id) AND (cp.user_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM ((conversations c
     JOIN activity_slots s ON ((s.id = c.slot_id)))
     JOIN activities a ON ((a.id = s.activity_id)))
  WHERE ((c.id = messages.conversation_id) AND (a.host_id = auth.uid())))))
public	messages	Business can read messages in their activity groups	PERMISSIVE	{public}	SELECT	((EXISTS ( SELECT 1
   FROM conversation_participants cp
  WHERE ((cp.conversation_id = messages.conversation_id) AND (cp.user_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM ((conversations c
     JOIN activity_slots s ON ((s.id = c.slot_id)))
     JOIN activities a ON ((a.id = s.activity_id)))
  WHERE ((c.id = messages.conversation_id) AND (a.host_id = auth.uid())))))	
